,N,E,O,A,C
Average,1.01,0.53,-0.99,-0.16,-0.38
SelfCentered,,,,,
Reserved,-0.88,0.16,-0.81,-0.2,0.51
RoleModel,-0.99,0.85,0.59,0.58,0.79
