,N,E,O,A,C
Average,,,,,
SelfCentered,-0.53,0.66,-0.89,0.24,-0.77
Reserved,-0.76,-0.79,-1.19,0.13,0.28
RoleModel,-1.18,0.83,0.81,0.81,0.83
