,N,E,O,A,C
Average,0.27,0.35,-0.4,0.55,0.93
SelfCentered,-0.25,0.65,-0.99,-0.91,-0.9
Reserved,-0.65,-0.01,-0.83,0.2,0.14
RoleModel,-1.01,0.52,0.23,0.62,0.78
